PR,estado,creado_utc,lag_min,tipo,directorio,paquete,titulo
1,open,2026-07-04 12:49:27,12,deps,/nginx,nginx,"chore(deps): bump nginx from 1.25-alpine to 1.31-alpine in /nginx"
2,open,2026-07-04 12:49:36,12,deps,/web,node,"chore(deps): bump node from 18-alpine to 26-alpine in /web"
3,open,2026-07-04 12:49:36,12,deps,/backend,node,"chore(deps): bump node from 18-alpine to 26-alpine in /backend"
4,open,2026-07-04 12:49:45,12,deps,/ai-services,python,"chore(deps): bump python from 3.11-slim to 3.14-slim in /ai-services"
5,open,2026-07-04 12:49:46,12,deps,/ai-services,torch,"chore(deps): bump torch from 2.1.1 to 2.12.1 in /ai-services"
6,open,2026-07-04 12:49:49,12,deps,/,actions/download-artifact,"chore(deps): bump actions/download-artifact from 3 to 8"
7,open,2026-07-04 12:49:50,12,deps,/ai-services,spacy,"chore(deps): bump spacy from 3.6.1 to 3.8.14 in /ai-services"
8,open,2026-07-04 12:49:50,12,deps,/ai-services,pytest,"chore(deps): bump pytest from 7.4.3 to 9.1.1 in /ai-services"
9,open,2026-07-04 12:49:53,12,deps,/backend,@opentelemetry/resources,"chore(deps): bump @opentelemetry/resources from 2.2.0 to 2.9.0 in /backend"
10,open,2026-07-04 12:49:53,12,deps,/,actions/setup-python,"chore(deps): bump actions/setup-python from 4 to 6"
11,open,2026-07-04 12:49:54,12,deps,/ai-services,librosa,"chore(deps): bump librosa from 0.10.1 to 0.11.0 in /ai-services"
12,open,2026-07-04 12:49:54,12,deps-dev,/web,cypress,"chore(deps-dev): bump cypress from 13.17.0 to 15.18.0 in /web"
13,open,2026-07-04 12:49:56,12,deps,/ai-services,fakeredis,"chore(deps): bump fakeredis from 2.20.1 to 2.36.2 in /ai-services"
14,open,2026-07-04 12:49:56,12,deps,/ai-services,factory-boy,"chore(deps): bump factory-boy from 3.3.0 to 3.3.3 in /ai-services"
15,open,2026-07-04 12:49:56,12,deps,/,sigstore/cosign-installer,"chore(deps): bump sigstore/cosign-installer from 3.7.0 to 4.1.2"
16,open,2026-07-04 12:49:57,12,deps,/web,react-window,"chore(deps): bump react-window from 1.8.11 to 2.2.7 in /web"
17,open,2026-07-04 12:49:59,13,deps-dev,/backend,prettier,"chore(deps-dev): bump prettier from 3.6.2 to 3.9.4 in /backend"
18,open,2026-07-04 12:50:00,13,deps,/,actions/cache,"chore(deps): bump actions/cache from 3 to 6"
19,open,2026-07-04 12:50:01,13,deps,/,actions/upload-artifact,"chore(deps): bump actions/upload-artifact from 3 to 7"
20,open,2026-07-04 12:50:03,13,deps,/,azure/setup-kubectl,"chore(deps): bump azure/setup-kubectl from 3 to 5"
21,open,2026-07-04 12:50:03,13,deps-dev,/web,isomorphic-dompurify,"chore(deps-dev): bump isomorphic-dompurify from 2.33.0 to 3.18.0 in /web"
